Song Name,Singer,Lyrics
Cette année-là,Claude François,"Cette année-là
Je chantais pour la première fois
Le public ne me connaissait pas
Oh quelle année, cette année-là
Cette année-là
Le rock'n'roll venait d'ouvrir ses ailes
Et dans mon coin, je chantais ""belle, belle, belle""
Et le public aimait ça
Déjà (ah ah-ah)
Les Beatles étaient quatre garçons dans le vent
Et moi
Ma chanson disait marche tout droit
Cette année-là
Quelle joie d'être l'idole des jeunes
Pour des fans qui cassaient les fauteuils
Plus j'y pense et moins, j'oublie
J'ai découvert mon premier, mon dernier amour
Le seul, le grand, l'unique et pour toujours, le public
Cette année-là
Dans le ciel, passait une musique
Un oiseau qu'on appelait Spoutnik
Oh quelle année, cette année-là
C'est là (ah ah-ah)
Qu'on a dit adieu à Marilyn au cœur d'or
Tandis
Que West Side battait tous les records
Cette année-là
Les guitares tiraient sur les violons
On croyait qu'une révolution
Arrivait cette année-là
C'était hier, mais aujourd'hui rien n'a changé
C'est le même métier qui ce soir, recommence encore
C'était l'année 62
C'était l'année 62
C'était l'année 62
C'était l'année 62"
Chacun fait (c'qui lui plaît),Chagrin d'amour,"Cinq heures du mat' j'ai des frissons
Je claque des dents et je monte le son
Seul sur le lit dans mes draps bleus froissés
C'est l'insomnie, sommeil cassé
Je perds la tête et mes cigarettes sont toutes fumées
Dans le cendrier
C'est plein d'Kleenex et d'bouteilles vides
J'suis tout seul, tout seul, tout seul
Pendant qu'Boulogne se désespère
J'ai d'quoi m'remplir un dernier verre
Clac fait le verre en tombant sur le lino
Je m'coupe la main en ramassant les morceaux
Je stérilise, les murs qui dansent
L'alcool ça grise et ça commence
(Yeah, yeah, yeah, yeah)
Font les moutons, sur le parquet
Casse-toi
L'précipice est au bout
(L'précipice on s'en fout)
(Chacun fait, fait, fait)
(C'qui lui plaît, plaît, plaît)
(Toutes les étoiles qui brillent)
Qu'est-ce qu'elles ont à m'dire, les étoiles
Six heures du mat' faut qu'j'trouve à boire
Liqueur forte ou café noir
J'brûle un feu rouge, police, patrouille
Je serre les fesses, y a rien qui presse
Quatre, cinq francs ma rose
Crie le petit chose dans le matin rose
Car mon nom dîne sous ses comptines
(Eh, qu'est-ce t'as là, qu'est-ce t'as ta)
Tout près d'une poste y a un petit bar
Je pousse la porte et je viens m'asseoir
Trois, quatre, patibulaires
Tapent le carton dans les waters
Toute seule au bar dans un coin noir
Une blonde platine sirote sa fine
Elle dit ""champagne""
Je l'accompagne
Elle dit ""50""
J'lui dis ""ça m'tente""
À la prochaine je t'en mets une
Que d'pression dans les bars
Personne te pousse à boire
(Chacun fait, fait, fait)
(C'qui lui plaît, plaît, plaît)
Les gens ont d'ces manies
Les décalcomanies
Sept heures du mat', l'hôtel
Je paie, j'abrège
Je fouille mes poches, je sais c'est moche
Son sourire rouge, son corps qui bouge
Elle fait glisser son cœur croisé sur sa peau bronzée
T'as les bas nylon qui filent sur l'édredon
Ses ongles m'accrochent, tu viens chéri
Le lit qui craque et les volets claquent
Seuls sur le lit dans ses draps bleus froissés
Sur sa peau lisse mes doigts glacés
Elle prend la pose, j'pense à autre chose
Ses yeux miroirs renvoient mon regard
Les anges pressés dans ce bleu glacé
Me disent ""c'est l'heure""
J'leur dis ""quelle heure""
Non
Sous mes pieds, y a la terre
(Sous tes pied, y a l'enfer)
(Chacun fait, fait, fait)
(C'qui lui plaît, plaît, plaît)
Mon Dieu, j'peux même pas jouir
Tant pis pour toi, il faut dormir
Alors j'me sauve dans le matin gris
C'est plein d'cageots et pas d'taxi
Les chats qui s'tapent leurs petits ronrons
Les Eminences, les Petits Bateaux
Porte d'la Chapelle, je m'sens pas belle
Mes bigoudis sont plus en plis
Dans mon studio, j'aspirateur
La vidéo m'fait un peu peur
(Madame pipi a des ennuis)
(Monsieur papa s'fait du tracas)
(Dans les logis des mals lotis)
(Bébé vomit sa bouillie)
Huit heures du mat' j'ai des frissons
Je claque des dents et je monte le son
Seule sur le lit dans mes draps bleus froissés
C'est l'insomnie, sommeil cassé
Je perds la tête, mes cigarettes sont toutes fumées
Dans le cendrier
C'est plein d'Kleenex et d'bouteilles vides
J'suis toute seule, toute seule, toute seule
Pendant qu'Boulogne se désespère
J'ai d'quoi m'remplir un dernier verre
Clac fait le verre en tombant sur le lino
J'm'coupe la main en ramassant les morceaux"
Comment te dire adieu,Françoise Hardy,"Sous aucun prétexte
Je ne veux
Avoir de réflexes
Malheureux
Il faut que tu m'expliques
Un peu mieux
Comment te dire adieu
Mon cœur de silex
Vite prend feu
Ton cœur de pyrex
Résiste au feu
Je suis bien perplexe
Je ne veux
Me résoudre aux adieux
Je sais bien qu'un ex-amour n'a pas de chance, ou si peu
Mais pour moi un explication vaudrait mieux
Sous aucun prétexte
Je ne veux
Devant toi surexposer mes yeux
Derrière un kleenex
Je saurais mieux
Comment te dire adieu
Comment te dire adieu
Tu es mis à l'index, nos nuits blanches, nos matins gris-bleu
Mais pour moi une explication vaudrait mieux
Sous aucun prétexte
Je ne veux
Devant toi surexposer mes yeux
Derrière un kleenex
Je saurais mieux
Comment te dire adieu
Comment te dire adieu
Comment te dire adieu"
Crush,Nuit Incolore,"J'suis totalement moi quand j'suis à moitié moi
J'accumule les soirées
Je n'les lie plus aux matins
Je peindrai le ciel avec le rouge de ton cœur
Je remplirai la mer avec le goût de mes pleurs
J'suis en enfer et contre toutes
Dans mes souvenirs, goutte à goutte
Les murs m'appellent, l'amour m'redoute
Et même à Paris au mois d'août
Mes mains pleines de caresses
Ont d'la peine et se dessèchent
D'un ""je t'aime"", j'suis en carence
Mes songes saignent sans âme sœur
J'sais pas comment t'le dire
J'ai beau me l'interdire
J'sais pas comment t'le dire
Mais j'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
Je me retrouve emporté par la foudre
Tout c'que j'éprouve, je le nie loin des autres
C'est pas d'ma faute si j'me sens vide
Le cœur en poudre a besoin d'amour liquide
Les yeux humides quand le soir se consolide
Ça m'hypnotise mais l'histoire se réalise
Sous ma gorge brûle une forge
Qui me damne à t'aimer jusqu'en enfer
Coup d'Jupiter, faut qu'il s'abrège
Faut qu'il s'abrège
C'n'est pas le miroir qui est sale
C'est l'reflet d'mon âme
Dans une rafale, je ne t'ai plus qu'en image
J'sais pas comment t'le dire
J'ai beau me l'interdire
J'sais pas comment t'le dire
Mais j'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
Je m'y accroche encore (encore)
C'est mon seul réconfort
J'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
J'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids"
Dans l'univers,Nekfeu,"Dans l'univers, y'a des milliards de vies sur terre
Sept milliards d'êtres humains
Peut-être trois milliards de filles mais c'est toi qu'j'veux
T'es obsédé par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux
Y'en a plein mais y'en a qu'une, c'est toi
Je sais des choses que tu ne sais pas
Je sais qu'on serait même pas heureux ensemble
Nous sommes de ceux que la rancune sépare
Pourtant dans l'univers, y'a des milliards de vies sur terre
Sept milliards d'êtres humains
Peut-être trois milliards de filles mais c'est toi qu'j'veux
T'es obsédé par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux
Y'en a plein mais y'en a qu'une, c'est toi
Je sais des choses que tu ne sais pas
Je sais qu'on serait même pas heureux ensemble
Nous sommes de ceux que la rancune sépare
Et même si notre amour raté devait renaître demain
Elle m'a dit ""jamais je ne remettrai mon cœur entre tes mains""
Jamais, jamais n'oublie pas que quand tu l'avais
Tu ne m'as laissé que du mal-être et des marques
On était jeunes, on pensait que s'aimer, c'était se traiter mal
Pourtant dans l'univers, y'a des milliards de vies sur terre
Sept milliards d'êtres humains
Peut-être trois milliards de filles mais c'est toi qu'j'veux
T'es obsédé par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux
Y'en a plein mais y'en a qu'une, c'est toi
Je sais des choses que tu ne sais pas
Je sais qu'on serait même pas heureux ensemble
Nous sommes de ceux que la rancune sépare
On se dégoûte, on se combat jusqu'à ce qu'on bouffe les pissenlits
Notre couple succombe à ce désir puissant puis s'ennuie
Et le désir disparaît en même temps que la possession
Et les femmes de ma vie défilent en une étrange procession
J'y pensais seul la nuit sous les traits d'un jeune homme inquiet
Quand la lune dort le soleil luit, moi je ne vois qu'elle
Dans l'univers, y'a des milliards de vies sur terre
Sept milliards d'êtres humains
Peut-être trois milliards de filles mais c'est toi qu'j'veux
T'es obsédé par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux
Y'en a plein mais y'en a qu'une, c'est toi
Je sais des choses que tu ne sais pas
Je sais qu'on serait même pas heureux ensemble
Nous sommes de ceux que la rancune sépare
Nos cœurs unis par cette danse que ta lumière peut apprendre à mon ombre
Un jour, tu me donneras ton oui et tu prendras mon nom
Un jour, tu me donneras ton oui et tu prendras mon nom"
Dans les yeux D'Émilie,Joe Dassin,"Dans son quartier du vieux Québec
Les rues ont l'air d'avoir l'accent
Et l'an deux mille voisine avec
Les maisons grises du vieux temps
Mais l'hiver vient d'éclater
Le Saint-Laurent est prisonnier
D'un décembre qui va bien durer six mois
Quand les jours ressemblent aux nuits
Sans éclaircie à espérer
Qui peut croire que l'été nous reviendra
Moi, j'avais le soleil
Jour et nuit dans les yeux d'Émilie
Je réchauffais ma vie à son sourire
Moi, j'avais le soleil
Nuit et jour dans les yeux de l'amour
Et la mélancolie au soleil d'Émilie
Devenait joie de vivre
Dans son quartier du vieux Québec
Quand les toits redeviennent verts
Quand les enfants ont les pieds secs
On tourne le dos à l'hiver
C'est la fête du printemps
Le grand retour du Saint-Laurent
On dirait que les gens sortent de la terre
Mais Émilie n'est plus à moi
J'ai froid pour la première fois
Je n'ai plus ni sa chaleur, ni sa lumière
Moi, j'avais le soleil
Jour et nuit dans les yeux d'Émilie
Je réchauffais ma vie à son sourire
Moi, j'avais le soleil
Nuit et jour dans les yeux de l'amour
Et la mélancolie au soleil d'Émilie
Devenait joie de vivre
En ce temps-là j'avais le soleil
Jour et nuit dans les yeux d'Émilie
Je réchauffais ma vie à son sourire
Moi, j'avais le soleil
Nuit et jour dans les yeux de l'amour
Et la mélancolie au soleil d'Émilie
Devenait joie de vivre"
Dommage,Bigflo & Oli,"Louis prend son bus, comme tous les matins
Il croisait cette même fille, avec son doux parfum
Qu'elle vienne lui parler, il espère tous les jours
Ce qu'il ressent au fond d'lui, c'est ce qu'on appelle l'amour
Mais Louis, il est timide et elle, elle est si belle
Il ne veut pas y aller, il est collé au fond d'son siège
Une fois elle lui a souri quand elle est descendue
Et depuis ce jour là, il ne l'a jamais revue

Ah il aurait dû y aller, il aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Yasmine a une belle voix, elle sait qu'elle est douée
Dans la tempête de sa vie, la musique est sa bouée
Face à ses mélodies, le monde est à ses pieds
Mais son père lui répétait: ""Trouve-toi un vrai métier""
Parfois elle s'imagine sous la lumière des projecteurs
Sur la scène à recevoir les compliments et les jets de fleurs
Mais Yasmine est rouillée, coincée dans la routine
Ça lui arrive de chanter quand elle travaille à l'usine

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Diego est affalé au fond du canapé
Il engueule son p'tit frère quand il passe devant la télé
Ses amis sont sortis, il ne les a pas suivis
Comme souvent seule la Lune viendra lui tenir compagnie
Diego est triste il ne veut rien faire de sa nuit
Il déprime de ne pas trouver la femme de sa vie
Mais mon pauvre Diego, tu t'es tellement trompé
C'était à cette soirée que t'allais la rencontrer


Ah il aurait dû y aller, il aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Pauline elle est discrète, elle oublie qu'elle est belle
Elle a sur tout le corps des tâches de la couleur du ciel
Son mari rentre bientôt, elle veut même pas y penser
Quand il lui prend le bras, c'est pas pour la faire danser
Elle repense à la mairie, cette décision qu’elle a prise
A cet après midi où elle avait fait sa valise
Elle avait un avenir, un fils à élever
Après la dernière danse, elle s'est pas relevée

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
On a tous dit : ""Ah c'est dommage, ah c'est dommage, ah c'est dommage, ah c'est dommage""
On a tous dit : ""Ah c'est dommage, ah c'est dommage, ah c'est dommage, ah c'est dommage""

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords c'est ça le secret"
Dépassé,Nuit incolore,"J'suis dépassé par le temps
J'ai besoin de prendre l'air
Regard noir dans le vide
Je dévisage ce qu'il reste de mon avenir
Mes souvenirs deviennent liquides
Je voudrais en quitter le navire
Et finalement, j'en perds mon temps
Comment puis-je me perdre autant?
Le vent se lève
Je tenterais d'être un survivant
Au bout de mes lèvres, les mots m'attendent
Ils se servent mais jamais ne tombent
Au fond de moi, je suis fais de catacombe
J'ai le chronomètre dans la tête
Combien de rêves me faudra-t-il
Pour que les heures s'arrêtent?
J'suis dépassé par le temps
Je ne pense plus comme avant
J'ai besoin de prendre l'air
J'veux rejoindre la lumière
Je me nourris de distance
Pour sentir mon existence
J'ai besoin de me distraire
Mais j'suis au fond de l'enfer
J'suis dépassé par le temps
J'ai besoin de prendre l'air
J'veux rejoindre la lumière
Retarder les larmes est une solution
J'deviens l'ennemi de ma raison
J'deviens l'ami de mes pulsions
J'me cacherai parmi les ombres
Je suis séduit par les fosses
Séduit comme Faust
J'me rapproche de mes défauts
Je n'ai plus sommeil
Je n'ai plus de réveil
Et pourtant, la nuit
Ne me porte plus conseil
Je n'ai plus sommeil
Je n'ai plus de réveil
C'est complexe d'exister
Mais au moins, j'essaie
J'ai le chronomètre dans la tête
Combien de rêves me faudra-t-il
Pour que les heures s'arrêtent?
J'suis dépassé par le temps
Je ne pense plus comme avant
J'ai besoin de prendre l'air
J'veux rejoindre la lumière
Je me nourris de distance
Pour sentir mon existence
J'ai besoin de me distraire
Mais j'suis au fond de l'enfer
J'suis dépassé par le temps
J'ai besoin de prendre l'air
J'veux rejoindre la lumière
Depuis quand est-ce que j'ai mal tourné?
Car je me sens tout décentré
Je ne suis plus pareil
Je ne suis plus le même
Je n'connais plus le thème
Je poursuis le soleil
J'suis dépassé par le temps
Je ne pense plus comme avant
J'ai besoin de prendre l'air
J'veux rejoindre la lumière
Je me nourris de distance
Pour sentir mon existence
J'ai besoin de me distraire
Mais j'suis au fond de l'enfer
J'suis dépassé par le temps
J'ai besoin de prendre l'air
J'veux rejoindre la lumière"
Ego,Willy William,"Miroir
Dis-moi qui est le plus beau
Quitte à devenir mégalo
Viens donc chatouiller mon ego
Allez, allez, allez
Laisse-moi entrer dans ta matrice
Goûter à tes délices
Personne ne peut m'en dissuader
Allez, allez, allez
Je ferai tout pour t'accompagner
Tellement je suis borné
Je suis bien dans ma bulle
Allez, allez, allez
Tout est beau, tout est rose
Tant que je l'impose
Dis-moi qui est le plus beau
Allez, allez, allez
Allez, allez, allez
Miroir
Qu'as dont tu fais de ma tête
Cette transformation malhonnête
Ce n'est pas ce que je demandais
Allez, allez, allez
Le buzz n'était que factice
Je ne suis plus dans la matrice
Y'a plus personne pour en parler
Allez, allez, allez
Je ferai tout pour récupérer
Ce que je suis en train de gâcher
Enfin sorti de ma bulle
Allez, allez, allez
Tout est beau, tout est rose
Avant que mon ego s'impose
J'ai fini de te regarder
Allez, allez, allez
Allez, allez, allez
Allez, allez, allez
Ego, ego
Ego, ego
Ego, ego
Ego, ego, ego, ego, ego
Ego, ego
Ego, ego
Ego, ego
Allez, allez, allez
Allez, allez, allez
Allez, allez, allez
Allez, allez, allez
Allez, allez, allez"
"Ella, elle l'a",France Gall,"C'est comme une gaieté, comme un sourire
Quelque chose dans la voix qui paraît nous dire ""Viens""
Qui nous fait sentir étrangement bien
C'est comme toute l'histoire du peuple noir
Qui se balance entre l'amour et le désespoir
Quelque chose qui danse en toi
Si tu l'as, tu l'as
Ella, elle l'a
Hou hou houhou hou houhou
Ce j'n'sais quoi
Hou hou houhou hou houhou
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Cette drôle de voix (elle l'a)
Hou hou houhou hou houhou
Cette drôle de joie
Ce don du ciel qui la rend belle
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Elle a
Ce tout petit supplément d'âme
Cet indéfinissable charme
Cette petite flamme
Tape sur des tonneaux, sur des pianos
Sur tout ce que Dieu peut te mettre entre les mains
Montre ton rire ou ton chagrin
Mais que tu n'aies riens, que tu sois roi
Que tu cherches encore les pouvoirs qui dorment en toi
Tu vois ça ne s'achète pas
Quand tu l'as, tu l'as
Ella, elle l'a
Houhou houhou hou houhou
Ce j'n'sais quoi
Houhou houhou hou houhou
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Houhou houhou hou houhou
Ce j'n'sais quoi
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a (elle l'a)
Ella, elle l'a
Houhou houhou hou houhou
Cette drôle de voix
Cette drôle de joie
Ce don du ciel qui la rend belle
Ella, elle l'a (elle l'a)
Ella, elle l'a
Houhou houhou hou houhou
Ella, elle l'a
Ella, elle l'a
Qui nous met dans un drôle d'état"
Elle a les yeux revolver,Marc Lavoine,"Un peu spéciale, elle est célibataire
Le visage pâle, les cheveux en arrière
Et j'aime ça
Elle se dessine sous des jupes fendues
Et je devine des histoires défendues
C'est comme ça
Tellement si belle quand elle sort
Tellement si belle, je l'aime tellement si fort
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
M'a touché, c'est foutu
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
Elle m'a touché, c'est foutu
Un peu larguée, un peu seule sur la terre
Les mains tendues, les cheveux en arrière
Et j'aime ça
À faire l'amour sur des malentendus
On vit toujours des moments défendus
C'est comme ça
Tellement si femme quand elle mord
Tellement si femme, je l'aime tellement si fort
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
M'a touché, c'est foutu
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
Elle m'a touché, c'est foutu
Son corps s'achève sous des draps inconnus
Et moi je rêve de gestes défendus
C'est comme ça
Un peu spéciale, elle est célibataire
Le visage pâle, les cheveux en arrière
Et j'aime ça
Tellement si femme quand elle dort
Tellement si belle, je l'aime tellement si fort
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
M'a touché, c'est foutu
Elle a les yeux revolver
Elle a le regard qui tue
Elle a tiré la première
Elle m'a touché, c'est foutu"
Elle me dit,Mika and Montreal Symphony Orchestra,"Pom, pom, pom
Pom, pom, pom, pom, pom
Hey
Elle me dit
""Écris une chanson contente
Pas une chanson déprimante
Une chanson que tout l'monde aime""
Elle me dit
""Tu deviendras milliardaire
T'auras de quoi être fier
Ne finis pas comme ton père""
Elle me dit
""Ne t'enferme pas dans ta chambre
Vas-y, secoue-toi et danse
Dis-moi, c'est quoi ton problème?""
Elle me dit
""Qu'est-ce que t'as, t'as l'air coincé?
T'es défoncé ou t'es gay?
Tu finiras comme ton frère""
Elle me dit
Elle me dit ""c'est ta vie
Fais c'que tu veux, tant pis
Un jour tu comprendras
Un jour tu t'en voudras""
Elle me dit ""t'es trop nul
Sors un peu de ta bulle
Tu fais n'importe quoi
On dirait que t'aimes ça""
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie?
Danse, danse, danse
Elle me dit ""danse""
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie?
Danse, danse, danse
Elle me dit
""Fais comme les autres garçons
Va taper dans un ballon
Tu deviendras populaire""
Elle me dit
""Qu'est-ce tu fous sur Internet?
Ça va pas bien dans ta tête?
Regarde le temps que tu perds""
Elle me dit
""Pourquoi tu te plains tout l'temps?
On dirait que t'as 8 ans
C'est pas comme ça qu'tu vas plaire""
Elle me dit
""Un jour je n'serai plus là""
Mais c'est quand elle me dit ça
Qu'elle me dit un truc que j'aime
Elle me dit
Elle me dit ""c'est ta vie
Fais c'que tu veux, tant pis
Un jour tu comprendras
Un jour tu t'en voudras""
Elle me dit ""t'es trop nul
Sors un peu de ta bulle
Tu fais n'importe quoi
On dirait que t'aimes ça""
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie? (Elle me dit ""danse"")
Pourquoi tu gâches ta vie?
Danse, danse, danse
Elle me dit ""danse""
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie? (Elle me dit ""danse"")
Pourquoi tu gâches ta vie?
Danse, danse, danse
Elle me dit
""T'as pas encore des cheveux blancs
Et t'auras bientôt 30 ans
Faudrait que tu te réveilles""
Elle me dit
""Tu es toujours un enfant
Tu ne seras jamais grand
Et moi je suis déjà vieille""
Elle me dit
""Regarde un peu tes amis
Qu'est-ce qu'ils vont faire de leur vie?
Y a de quoi se foutre en l'air""
Elle me dit
""Oui un jour tu me tueras""
Et c'est quand elle me dit ça
Qu'elle me dit un truc que j'aime
Elle me dit ""danse""
Elle me dit ""danse, danse, danse""
Elle me dit ""danse""
Elle me dit ""danse, danse, danse""
Elle me dit ""danse""
Elle me dit ""danse, danse, danse""
Elle me dit ""danse, danse, danse, danse, danse, danse, danse""
Elle me dit ""danse""
Elle me dit ""c'est ta vie"" (elle me dit ""danse, danse, danse"")
""Fais c'que tu veux, tant pis"" (elle me dit ""danse"")
""Un jour tu comprendras"" (elle me dit ""danse, danse, danse"")
""Un jour tu t'en voudras"" (elle me dit ""danse"")
Elle me dit ""t'es trop nul"" (elle me dit ""danse, danse, danse"")
""Sors un peu de ta bulle"" (elle me dit ""danse"")
""Tu fais n'importe quoi"" (""danse, danse, danse, danse, danse, danse"")
""On dirait que t'aimes ça"" (elle me dit ""danse"")
Pourquoi tu gâches ta vie? (elle me dit ""danse"")
Pourquoi tu gâches ta vie? (danse)
Pourquoi tu gâches ta vie?
(Danse, danse, danse)
Elle me dit ""danse""
Pourquoi tu gâches ta vie? (elle me dit ""danse"")
Pourquoi tu gâches ta vie?
Pourquoi tu gâches ta vie? (danse, danse, danse)
(Danse, danse, danse)
Elle me dit ""danse""
(Elle me dit ""danse"", elle me dit ""danse"", elle me dit ""danse""...)"
Envole-moi,Jean-Jacques Goldman,"Minuit se lève en haut des tours
Les voix se taisent et tout devient aveugle et sourd
La nuit camoufle pour quelques heures
La zone sale et les épaves et la laideur
J'ai pas choisi de naître ici
Entre l'ignorance et la violence et l'ennui
J'm'en sortirai, j'me le promets
Et s'il le faut, j'emploierai des moyens légaux
Envole-moi, envole-moi, envole-moi
Loin de cette fatalité qui colle à ma peau
Envole-moi, envole-moi
Remplis ma tête d'autres horizons, d'autres mots
Envole-moi
Pas de question ni rébellion
Règles du jeu fixées mais les dés sont pipés
L'hiver est glace, l'été est feu
Ici, y'a jamais de saison pour être mieux
J'ai pas choisi de vivre ici
Entre la soumission, la peur ou l'abandon
J'm'en sortirai, je te le jure
À coup de livres, je franchirai tous ces murs
Envole-moi, envole-moi, envole-moi
Loin de cette fatalité qui colle à ma peau
Envole-moi, envole-moi
Remplis ma tête d'autres horizons, d'autres mots
Envole-moi
Envole-moi, envole-moi, envole-moi
Loin de cette fatalité qui colle à ma peau
Envole-moi, envole-moi
Remplis ma tête d'autres horizons, d'autres mots
Envole-moi
Me laisse pas là, emmène-moi, envole-moi
Croiser d'autres yeux qui ne se résignent pas
Envole-moi, tire-moi de là
Montre-moi ces autres vies que je ne sais pas
Envole-moi
Envole-moi, envole-moi, envole-moi
Regarde-moi bien, je ne leur ressemble pas
Me laisse pas là, envole-moi
Avec ou sans toi, je n'finirai pas comme ça
Envole-moi
Envole-moi, envole-moi, envole-moi
Envole-moi"
Et si tu n'existais pas,Joe Dassin,"Et si tu n'existais pas
Dis-moi pourquoi j'existerais
Pour traîner dans un monde sans toi
Sans espoir et sans regret
Et si tu n'existais pas
J'essaierais d'inventer l'amour
Comme un peintre qui voit sous ses doigts
Naître les couleurs du jour
Et qui n'en revient pas
Et si tu n'existais pas
Dis-moi pour qui j'existerais
Des passantes endormies dans mes bras
Que je n'aimerais jamais
Et si tu n'existais pas
Je ne serais qu'un point de plus
Dans ce monde qui vient et qui va
Je me sentirais perdu
J'aurais besoin de toi
Et si tu n'existais pas
Dis-moi comment j'existerais
Je pourrais faire semblant d'être moi
Mais je ne serais pas vrai
Et si tu n'existais pas
Je crois que je l'aurais trouvé
Le secret de la vie, le pourquoi
Simplement pour te créer
Et pour te regarder
Et si tu n'existais pas
Dis-moi pourquoi j'existerais
Pour traîner dans un monde sans toi
Sans espoir et sans regret
Et si tu n'existais pas
J'essaierais d'inventer l'amour
Comme un peintre qui voit sous ses doigts
Naître les couleurs du jour"
